File,Vertex Cover Size,Computation Time (seconds)
pace2019_track1_vc_exact_all/vc-exact_090.gr,8668,0.0102088
pace2019_track1_vc_exact_all/vc-exact_091.gr,190,0.000521085
pace2019_track1_vc_exact_all/vc-exact_092.gr,450,0.00456531
pace2019_track1_vc_exact_all/vc-exact_093.gr,184,0.000503416
pace2019_track1_vc_exact_all/vc-exact_094.gr,4240,0.00628452
pace2019_track1_vc_exact_all/vc-exact_095.gr,12056,0.0153491
pace2019_track1_vc_exact_all/vc-exact_096.gr,20000,0.0265121
pace2019_track1_vc_exact_all/vc-exact_097.gr,13822,0.0179931
pace2019_track1_vc_exact_all/vc-exact_098.gr,20000,0.0257773
pace2019_track1_vc_exact_all/vc-exact_099.gr,20000,0.0264009
pace2019_track1_vc_exact_all/vc-exact_100.gr,20000,0.0245235
pace2019_track1_vc_exact_all/vc-exact_101.gr,20000,0.0241574
pace2019_track1_vc_exact_all/vc-exact_102.gr,20000,0.02439
pace2019_track1_vc_exact_all/vc-exact_103.gr,12056,0.0147398
pace2019_track1_vc_exact_all/vc-exact_104.gr,20000,0.0244172
pace2019_track1_vc_exact_all/vc-exact_105.gr,20000,0.0243609
pace2019_track1_vc_exact_all/vc-exact_106.gr,2120,0.00302643
pace2019_track1_vc_exact_all/vc-exact_107.gr,10380,0.0125275
pace2019_track1_vc_exact_all/vc-exact_108.gr,20000,0.0246173
pace2019_track1_vc_exact_all/vc-exact_109.gr,54220,0.0585107
pace2019_track1_vc_exact_all/vc-exact_110.gr,73174,0.0968111
pace2019_track1_vc_exact_all/vc-exact_111.gr,450,0.00515707
pace2019_track1_vc_exact_all/vc-exact_112.gr,13822,0.0171234
pace2019_track1_vc_exact_all/vc-exact_113.gr,20000,0.0249653
pace2019_track1_vc_exact_all/vc-exact_114.gr,12056,0.0146192
pace2019_track1_vc_exact_all/vc-exact_115.gr,13822,0.01682
pace2019_track1_vc_exact_all/vc-exact_116.gr,20000,0.0245562
pace2019_track1_vc_exact_all/vc-exact_117.gr,13822,0.0166475
pace2019_track1_vc_exact_all/vc-exact_118.gr,20000,0.0242056
pace2019_track1_vc_exact_all/vc-exact_119.gr,13822,0.0166334
pace2019_track1_vc_exact_all/vc-exact_120.gr,52076,0.0685731
pace2019_track1_vc_exact_all/vc-exact_121.gr,13822,0.0173705
pace2019_track1_vc_exact_all/vc-exact_122.gr,20000,0.0247918
pace2019_track1_vc_exact_all/vc-exact_123.gr,20000,0.0248619
pace2019_track1_vc_exact_all/vc-exact_124.gr,20000,0.0242335
pace2019_track1_vc_exact_all/vc-exact_125.gr,20000,0.0244558
pace2019_track1_vc_exact_all/vc-exact_126.gr,13822,0.0168336
pace2019_track1_vc_exact_all/vc-exact_127.gr,13822,0.0166307
pace2019_track1_vc_exact_all/vc-exact_128.gr,20000,0.0243311
pace2019_track1_vc_exact_all/vc-exact_129.gr,12056,0.0144963
pace2019_track1_vc_exact_all/vc-exact_130.gr,20000,0.0242716
pace2019_track1_vc_exact_all/vc-exact_131.gr,2120,0.00316227
pace2019_track1_vc_exact_all/vc-exact_132.gr,12056,0.0145451
pace2019_track1_vc_exact_all/vc-exact_133.gr,12056,0.0145522
pace2019_track1_vc_exact_all/vc-exact_134.gr,20000,0.0244655
